         12555632 function calls (12460749 primitive calls) in 15.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.004    0.001 blocks.py:382(delete)
     1244    0.000    0.000    0.000    0.000 blocks.py:239(mgr_locs)
       84    0.000    0.000    0.111    0.001 construction.py:587(convert)
      337    0.000    0.000    0.003    0.000 common.py:1163(is_datetime64_any_dtype)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
      144    0.000    0.000    0.002    0.000 frame.py:3451(_box_col_values)
      233    0.000    0.000    0.003    0.000 common.py:1684(is_extension_type)
      242    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(prod)
      242    0.000    0.000    0.000    0.000 expressions.py:172(_has_bool_dtype)
       92    0.000    0.000    0.000    0.000 cast.py:384(infer_dtype_from_scalar)
       26    0.000    0.000    0.006    0.000 generic.py:3615(xs)
      221    0.000    0.000    0.001    0.000 base.py:180(construct_from_string)
      220    0.000    0.000    0.001    0.000 base.py:1012(_ndarray_values)
      506    0.000    0.000    0.008    0.000 series.py:852(<genexpr>)
       21    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
       73    0.000    0.000    0.029    0.000 generic.py:3380(_set_item)
      656    0.000    0.000    0.000    0.000 os.py:743(encodekey)
      268    0.000    0.000    0.000    0.000 common.py:1825(_is_dtype)
      867    0.000    0.000    0.001    0.000 managers.py:169(<genexpr>)
        1    0.000    0.000    0.043    0.043 models.py:873(json)
      242    0.000    0.000    0.001    0.000 expressions.py:182(_bool_arith_check)
       87    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       25    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      242    0.000    0.000    0.001    0.000 __init__.py:81(get_op_result_name)
      245    0.000    0.000    0.000    0.000 common.py:1585(is_float_dtype)
       75    0.000    0.000    0.001    0.000 indexing.py:2352(convert_to_index_sliceable)
      228    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.001    0.001 managers.py:826(_interleave)
      308    0.000    0.000    0.000    0.000 base.py:3901(values)
       21    0.000    0.000    0.003    0.000 nanops.py:62(_f)
      168    0.000    0.000    0.001    0.000 missing.py:128(_isna_new)
      124    0.000    0.000    0.002    0.000 blocks.py:347(ftype)
       21    0.000    0.000    0.004    0.000 series.py:2141(idxmin)
        4    0.000    0.000    0.037    0.009 geoseries.py:369(to_crs)
      198    0.000    0.000    0.002    0.000 blocks.py:267(make_block_same_class)
       22    0.000    0.000    0.002    0.000 nanops.py:239(_get_values)
       94    0.000    0.000    0.001    0.000 function_base.py:4640(append)
      246    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
       89    0.000    0.000    0.000    0.000 socket.py:614(readable)
      879    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       72    0.000    0.000    0.001    0.000 numerictypes.py:602(find_common_type)
      242    0.000    0.000    0.000    0.000 series.py:832(<listcomp>)
      170    0.000    0.000    0.000    0.000 common.py:951(is_integer_dtype)
      174    0.000    0.000    0.000    0.000 common.py:1006(is_signed_integer_dtype)
       87    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      242    0.000    0.000    0.000    0.000 numpy_.py:410(to_numpy)
       24    0.000    0.000    0.007    0.000 generic.py:3490(__delitem__)
      5/4    0.000    0.000    0.001    0.000 ops.py:185(transform)
       74    0.000    0.000    0.002    0.000 managers.py:654(_consolidate_check)
       33    0.000    0.000    0.001    0.000 managers.py:340(_verify_integrity)
      275    0.000    0.000    0.000    0.000 common.py:150(cast_scalar_indexer)
        4    0.000    0.000    0.008    0.002 indexing.py:313(_setitem_with_indexer)
  155/147    0.000    0.000    0.000    0.000 base.py:4377(equals)
        4    0.000    0.000    0.001    0.000 request.py:2456(getproxies_environment)
  169/153    0.000    0.000    0.001    0.000 geodataframe.py:92(__setattr__)
       23    0.000    0.000    0.000    0.000 range.py:83(__new__)
      242    0.000    0.000    0.000    0.000 series.py:835(<listcomp>)
       51    0.000    0.000    0.000    0.000 shape_base.py:83(atleast_2d)
        4    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       23    0.000    0.000    0.017    0.001 geodataframe.py:19(_ensure_geometry)
      171    0.000    0.000    0.000    0.000 base.py:613(_get_attributes_dict)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x000002975E0F8C18}
       51    0.000    0.000    0.010    0.000 base.py:4142(_coerce_scalar_to_index)
      640    0.000    0.000    0.000    0.000 os.py:696(__iter__)
